ASN,peers_AS
AS33527,"['AS59275', 'AS63005', 'AS40477']"
AS63648,"['AS43047', 'AS27298', 'AS395655']"
AS205115,"['AS22721', 'AS399639', 'AS30110']"
AS132641,"['AS262161', 'AS50543', 'AS397942']"
AS134351,"['AS269781', 'AS18619', 'AS44526']"
AS34087,"['AS15220', 'AS46065', 'AS272224']"
AS8068,"['AS29236', 'AS61058', 'AS211483']"
AS209281,"['AS15897', 'AS395990', 'AS208419']"
AS25472,"['AS58099', 'AS212026', 'AS29013']"
AS206283,"['AS19300', 'AS43213', 'AS61660']"
AS393238,"['AS208025', 'AS56954', 'AS137546']"
AS9426,"['AS265226', 'AS23923', 'AS20805']"
AS60246,"['AS264496', 'AS206641', 'AS272086']"
AS39686,"['AS266652', 'AS215113', 'AS211547']"
AS46010,"['AS28932', 'AS15510', 'AS42216']"
AS21632,"['AS205805', 'AS59019', 'AS200303']"
AS16205,"['AS200645', 'AS32713', 'AS206034']"
AS132116,"['AS200612', 'AS60291', 'AS139080']"
AS11178,"['AS13091', 'AS48549', 'AS206646']"
AS12570,"['AS6193', 'AS46711', 'AS22358']"
AS55701,"['AS14602', 'AS198046', 'AS59615']"
AS11245,"['AS151588', 'AS400137', 'AS150532']"
AS12683,"['AS266299', 'AS207148', 'AS395101']"
AS9952,"['AS271219', 'AS7684', 'AS38842']"
AS263702,"['AS25436', 'AS49209', 'AS213334']"
AS2199,"['AS197052', 'AS269677', 'AS63498']"
AS138195,"['AS270489', 'AS268517', 'AS204169']"
AS2830,"['AS41834', 'AS3786', 'AS266850']"
AS25180,"['AS26052', 'AS900', 'AS203110']"
AS29551,"['AS211470', 'AS328537', 'AS201460']"
AS36001,"['AS21728', 'AS271308', 'AS63248']"
AS139628,"['AS10058', 'AS133025', 'AS202555']"
AS9922,"['AS31590', 'AS199568', 'AS3425']"
AS138655,"['AS264851', 'AS41160', 'AS139366']"
AS48254,"['AS9008', 'AS56795', 'AS212561']"
AS7643,"['AS140929', 'AS51606', 'AS202730']"
AS6181,"['AS216365', 'AS215876', 'AS19102']"
AS15435,"['AS152341', 'AS271775', 'AS9394']"
AS36411,"['AS37160', 'AS61207', 'AS39713']"
AS149147,"['AS150699', 'AS265643', 'AS53383']"
AS21965,"['AS12589', 'AS50902', 'AS271673']"
AS23844,"['AS9529', 'AS32800', 'AS206312']"
AS212477,"['AS24544', 'AS268026', 'AS22880']"
AS216134,"['AS18715', 'AS20085', 'AS396545']"
AS11878,"['AS26137', 'AS267899', 'AS207465']"
AS18033,"['AS42669', 'AS215261', 'AS210556']"
AS55044,"['AS206402', 'AS9401', 'AS63189']"
AS3253,"['AS53156', 'AS270720', 'AS5033']"
AS61002,"['AS132321', 'AS270543', 'AS393669']"
AS17707,"['AS36117', 'AS64426', 'AS44674']"
AS399275,"['AS8798', 'AS34907', 'AS196826']"
AS200999,"['AS36146', 'AS151354', 'AS262518']"
AS152672,"['AS52378', 'AS271775', 'AS17890']"
AS18209,"['AS53294', 'AS16212', 'AS5491']"
AS136958,"['AS26829', 'AS47768', 'AS42147']"
AS15128,"['AS394046', 'AS53528', 'AS272818']"
AS28885,"['AS16047', 'AS9135', 'AS152358']"
AS42947,"['AS132661', 'AS62395', 'AS212164']"
AS150027,"['AS271306', 'AS28760', 'AS51255']"
AS49770,"['AS37263', 'AS49688', 'AS50105']"
AS54607,"['AS211676', 'AS138876', 'AS202173']"
AS55293,"['AS263247', 'AS136646', 'AS11651']"
AS59223,"['AS211700', 'AS39435', 'AS1776']"
